"%s was successfully added to your shopping cart.","%s נוסף בהצלחה לעגלת הקניות."
"%s was added to your shopping cart.","%s נוסף בהצלחה לעגלת הקניות."
"was added to your shopping cart","נוסף לעגלת הקניות"
"in your cart.","בסל הקניות שלך"
"There is","יש"
"There are","יש"
" items"," פריטים"
" item"," פריט"
"View Cart","לעגלת הקניות"
"You can choose options","אפשרויות בחירה"
"&laquo; Back to Billing Information","&laquo; בחזרה למידע אודות חיוב"
"&laquo; Back to Select Addresses","&raquo; חזרי לבחירת כתובות"
"&laquo; Back to Shopping Cart","&raquo; חזרי לסל הקניות"
"* Required Fields","* שדות חובה"
"Add New Address","נוסף כתובת חדשה"
"Add New Condition","נוסף תנאי"
"Add to Cart","נוסף לסל"
"Add to Compare","נוסף להשוואה"
"Add to Wishlist","נוסף לרשימת 'אני רוצה גם'"
"Address","כתובת"
"Address %s of %s","כתובת %s של %s"
"After adding a product redirect to shopping cart","אחרי הוספת מוצר, חזרי לעגלת הקניות"
"Allow Guest Checkout","אפשר יציאת אורח"
"Already registered?","האם הינך כבר רשום?"
"An error occurred in the process of payment","ארעה שגיאה בתהליך התשלום"
"Apply Coupon","הפעל קופון"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר מוצר זה מסל הקניות שלך?"
"Back","חזרי"
"Back to Shipping Information","חזרי למידע אודות משלוח"
"Based on your selection, you may be interested in the following items:","משתמשים אחרים שרכשו פריט זה, רכשו גם את הפריטים הבאים:"
"Billing Address","כתובת לחיוב"
"Billing Information","מידע אודות החיוב"
"Billing Information - %s","פרטי תשלום - %s"
"Can not add item to shopping cart","לא יכול להוסיף פריט לעגלת הקניות"
"Can not apply coupon code.","לא יכול להפעיל/לאשר קוד קופון."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","בטל קופון"
"Cannot remove item","לא יכול להסיר פריט"
"Cannot update shopping cart","לא יכול לעדכן את עגלת הקניות"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Subtotal:","סיכום ביניים של העגלה"
"Change","שינוי"
"Change Billing Address","שנה כתובת לחיוב"
"Checkbox text","Checkbox text"
"Checkout","תשלום/צ'ק אאוט"
"Checkout Conditions","תנאים למעבר לקופה"
"Checkout Options","אפשרויות צ'ק אאוט"
"Checkout Section","איזור - מעבר לקופה"
"Checkout Terms and Conditions","תקנון למעבר לקופה"
"Checkout as Guest","שלם כאורח"
"Checkout as a Guest or Register","שלם כאורח או הירשם"
"Checkout method","שיטת התשלום בצ'ק אאוט"
"Checkout with Multiple Addresses","בצע תשלום עבור מספר כתובות"
"City","עיר"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","סגור"
