" The customer doesn't exist in the system anymore","הלקוח אינו קיים יותר במערכת"
"""%s"" coupon code is not valid.","קוד קופון ""%"" לא תקין."
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s for %s"
"%s order(s) successfully canceled","%s order(s) successfully canceled"
"%s order(s) successfully put on hold","%s order(s) successfully put on hold"
"%s order(s) successfully released from holding status","%s order(s) successfully released from holding status"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
"* - Enter custom price including tax","* - Enter custom price including tax"
"About This Order:","אודות הזמנה זו:"
"About Your Order","אודות הזמנתך"
"Account Information","מידע אודות חשבונך"
"Action","פעולה"
"Actions","פעולות"
"Add","הוסף"
"Add Gift Messsage","Add Gift Messsage"
"Add New Address","הוסף כתובת חדשה"
"Add Order Comments","הוסף הערות להזמנה"
"Add Products","הוסף מוצרים"
"Add Selected Product(s) to Option","הוסף מוצר(ים) נבחרים לאופציה"
"Add Selected Product(s) to Order","הוסף מוצר(ים) נבחר(ים) להזמנה"
"Add To Order","הוסף להזמנה"
"Add Tracking Number","הוסף מספר מעקב"
"Add a gift message for <strong>each gift item</strong>","הוסף ברכה <strong>לכל מתנה</strong>"
"Add a gift message for the <strong>entire order</strong>","הוסף ברכה <strong>להזמנה</strong>"
"Add comment to order","הזמנה - הוסף הערה"
"Add new comment to shipment","משלוח - הוסף הערה"
"Add new tracking number","הוסף מספר מעקב"
"Add to Cart","הוסף לסל"
"Address","כתובת"
"Adjustment Fee","עמלת התאמה"
"Adjustment Fee:","עמלת התאמה:"
"Adjustment Refund","החזר התאמה"
"Adjustment Refund:","החזר התאמה:"
"Allow Reorder","אפשר הזמנה מחדש"
"Amount","כמות"
"And Above","ומעלה"
"Append Comments","הוסף הערות"
"Apply","הפעל/אשר"
"Apply Coupon Code","הפעל קוד קופון"
"Are you sure you want to cancel this order?","האם לבטל את ההזמנה?"
"Are you sure?","האם אתה בטוח?"
"Are you sure? This order will be cancelled and a new one will be created instead","האם אתה בטוח? ההזמנה הזו תבוטל והזמנה חדשה תיוצר במקומה"
"Back to My Orders","חזור להזמנות שלי"
"Backordered","הוזמן כהזמנת חוסר מלאי"
"Bill to First name","שלח חיוב לשם פרטי"
"Bill to Last name","שלח חיוב לשם משפחה"
"Bill to Name","שלח חיוב לשם"
"Billing Address","כתובת לחיוב"
"Buy %s for price %s","קנה %s במחיר %s"
"Can not add order history.","Can not add order history."
"Can not create block ""%s""","לא יכול ליצור בלוק ""%s"""
"Can not do invoice for order.","Can not do invoice for order."
"Can not do shipment for order.","לא יכול לעשות שילוח להזמנה."
"Can not register existing creditmemo","לא ניתן לרשום זכות קיימת"
"Can not register existing invoice","לא יכול לרשום חשבונית קיימת"
"Can not register existing shipment","לא יכול לרשום שילוח קיים"
"Can't get order instance","Can't get order instance"
"Cancel","בטל"
"Cancel invoice","בטל חשבונית"
"Cancel order","בטל הזמנה"
"Canceled","בוטל"
"Cannot create an empty shipment.","לא יכול ליצור משלוח ריק."
"Capture","לכידה"
"Capture Amount","כמות לכידה"
"Capture Offline","Capture Offline"
"Capture Online","Capture Online"
"Capture invoice","Capture invoice"
"Carrier","משלח"
"Change Status","שנה סטטוס"
"Change status, add comments","שנה סטטוס, הוסף הערות"
"Checkout totals sort order","מיון חישובי הסה""כ בצ'ק אאוט"
"Click to change shipping method","לחץ כדי לשנות שיטת שילוח"
"Closed","סגור"
"Comment","הערה"
"Comment Text","טקסט הערה"
"Comments","הערות"
"Comments History","היסטוריית הערות"
"Complete","הושלם"
"Country","ארץ"
"Coupons","קופונים"
"Create","צור"
"Create New Customer","צור לקוח חדש"
"Create New Order","צור הזמנה חדשה"
"Create New Order for %s","צור הזמנה חדשה עבור %s"
"Create New Order for %s in %s","צור הזמנה חדשה עבור %s ב %s"
"Create New Order for New Customer","צור הזמנה חדשה עבור לקוח חדש"
"Create New Order for New Customer in %s","צור הזמנה חדשה ללקוח חדש ב %s"
"Create Shipment","צור שילוח"
"Create new invoice for order","צור חשבונית חדשה להזמנה"
"Create new shipment for order","צור שילוח חדש להזמנה"
"Created At","נוצר ב-"
"Credit Memo","זכות"
"Credit Memo #","זכות #"
"Credit Memo # ","זכות #"
"Credit Memo Comment Email Sender","הערה על זכות - אימייל השולח"
"Credit Memo Comment Email Template","הערה על זכות - תבנית אימייל"
"Credit Memo Comment Email Template for Guest","החזרים - תבנית אימייל - הערות לאורחים"
"Credit Memo Comments","הערות על זכות"
"Credit Memo Email Sender","זכות - אימייל השולח"
"Credit Memo Email Template","זכות - תבנית אימייל"
"Credit Memo Email Template for Guest","החזרים - תבנית אימייל לאורחים"
"Credit Memo Update","החזרים - עדכון"
"Credit Memo Update for Guest","החזרים - עדכון לאורחים"
"Credit Memo email not sent","זכות - אימייל לא נשלח"
"Credit Memo email sent","זכות - אימייל נשלח"
"Credit Memos","החזרים"
"Creditmemo","החזר"
"Custom Options","Custom Options"
"Custom Price","מחיר מותאם"
"Custom Value","ערך המכס"
